records,rec,resultID,header,shortDbName,longDbName,uiTerm,controlInfo,bkinfo,btl,isbn,type,sertl,jinfo,jtl,issn,type,pubinfo,dt,year,month,day,vid,iid,place,artinfo,ui,type,ppf,ppct,formats,fmt,type,size,tig,atl,aug,au,affil,sug,subj,type,ab,pubtype,doctype,pages,su,language,code,revinfo,dissinfo,disstl,degree,dissinst,displayInfo,pLink,url
,,79,,slh,Sociological Collection,11702499,,,,,,,,Science,368075,,,11/28/2003,2003,11,28,302,5650,,,,,1519,4,,,,,,Are We Ready for Pandemic Influenza?,,"Webby, Richard J.","Division of Virology, Department of Infectious Diseases, St. Jude Children's Research Hospital, 332 North Lauderdale, Memphis, TN 38105, USA",,UNITED States,geo,"During the past year, the public has become keenly aware of the threat of emerging infectious diseases with the global spread of severe acute respiratory syndrome (SARS), the continuing threat of bioterrorism, the proliferation of West Nile virus, and the discovery of human cases of monkeypox in the United States. At the same time, an old foe has again raised its head, reminding us that our worst nightmare may not be a new one. In 2003, highly pathogenic strains of avian influenza virus, including the H5N1 and H7N7 subtypes, again crossed from birds to humans and caused fatal disease. Direct avian-to-human influenza transmission was unknown before 1997. Have we responded to these threats by better preparing for emerging disease agents, or are we continuing to act only as crises arise? Here we consider progress to date in preparedness for an influenza pandemic and review what remains to be done. We conclude by prioritizing the remaining needs and exploring the reasons for our current lack of preparedness for an influenza pandemic.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=11702499&site=ehost-live
,,84,,slh,Sociological Collection,11043728,,,,,,,,Journal of Aging Studies,8904065,,,Nov-03,2003,11,1,17,4,,,10.1016/S0890-4065(03)00063-X,doi,445,28,,,,,,Caring for a demented relative at home: Effects on parent–adolescent relationships and family dynamics,,"Szinovacz, Maximiliane E.","Eastern Virginia Medical School, Glennan Center for Geriatrics and Gerontology, Hofheimer Hall, Suite 201, 825 Fairfax Avenue, Norfolk, VA 23507, USA",,FAMILIES,unclass,"Informed by a family systems perspective, the main purpose of this study was to identify changes in parent–adolescent relationships and in family dynamics when a family member with Alzheimer''s or similar dementia moves into the household. The data, based on in-depth interviews with 17 adolescents, revealed that the care situation induces both positive and negative changes in family relationships. On the one hand, adolescents showed considerable empathy and respect for the parent who is the primary caregiver and reported that joint involvement in caregiving enhances adolescent–parent bonds. On the other hand, the adolescents lamented restrictions on their own and the family unit''s activities due to the care situation. They also complained about spillover of caregiver stress on other family relationships and about parent-caregivers'' focus of attention on the care recipient. These negative features strongly influenced adolescents'' adaptation to the care situation. Overall, the results confirm the importance of a family systems perspective for understanding of and intervention in family caregiving for demented relatives. Family life educators should convey the importance of family dynamics in caregiving situations to their audiences, and family practitioners should be aware that an exclusive focus on the primary caregiver''s problems may hamper adaptation of other family members (and especially adolescents) who are involved in the care situation.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=11043728&site=ehost-live
,,146,,ant,Anthropology Plus,582074,,,,415299187,print,Theory and practice in medical anthropology and international health,,Medical pluralism in the Andes,,,,2003,2003,1,1,9 (2003),,,,,,,,,,,,,Sucking blood or snatching fat : Chagas' disease in Bolivia,,"Bastien, Joseph William",,,Chagas' disease,unclass,,article,,166-187,,,,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ant&AN=582074&site=ehost-live
,,95,,ecn,EconLit,749929,,,,,,,,Eurasian Geography and Economics,15387216,print,,20040701,2004,7,1,45,5,,,,,,23,,,,,,Severe Acute Respiratory Syndrome (SARS) in Asia: A Medical Geographic Perspective,,"Shannon, Gary W.",,,,,"The Severe Acute Respiratory Syndrome (SARS) represents the first major and readily transmissible disease to emerge in the 21st Century. This paper illustrates the medical geography of SARS, which is believed to be caused by a new member of the coronavirus family. The origin of SARS as well as the vast majority of cases occurred in Asia, most notably China. Theories pertaining to the biological and geographical origin of the etiologic agent are examined and local, national, and international spatial diffusion patterns in Asia are illustrated. The SARS epidemic provides additional evidence that developed as well developing countries face major new health threats from emerging infectious and contagious diseases in an era of globalization, bringing into further question the epidemiological transition theory.",Journal Article,,359-381,Health Behavior,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0749929&site=ehost-live
,,96,,ecn,EconLit,846685,,,,,,,,,,,,20040101,2004,1,1,,,,,,,,,,,,,,"Aid and the Supply Side: Public Investment, Export Performance and Dutch Disease in Low Income Countries",,"Adam, Christopher",,,,,"Contemporary policy debates on the macroeconomics of aid often concentrate on short run Dutch disease effects, ignoring the possible supply side impact of aid financed public expenditure. We present a simple model of aid and public expenditure in which public infrastructure generates an inter-temporal productivity spillover which may exhibit a sector-specific bias. The model also provides for a learning-by-doing externality, through which total factor productivity in the tradable sector is an increasing function of past export volumes. We then use an extended version of this model, calibrated to contemporary conditions in Uganda, to simulate the effect of a step increase in net aid flows. Our simulations show that beyond the short-run, where conventional demand-side Dutch disease effects are present, the relationship between enhanced aid flows, real exchange rates, output growth and welfare is less straightforward than simple models of aid suggest. We show that public infrastructure investment which generates a productivity bias in favour of non-tradable production delivers the largest aggregate return to aid, but it does so at the cost of a deterioration in the income distribution. Income gains accrue predominantly to urban skilled and unskilled households, leaving the rural poor relatively worse off. Under plausible parameterizations of the model the rural poor may also be worse off in absolute terms.",Working Paper,,,"One, Two, and Multisector Growth Models",English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=ecn&AN=0846685&site=ehost-live
,,98,,slh,Sociological Collection,13159761,,,,,,,,Science,368075,,,4/30/2004,2004,4,30,304,5671,,,,,681,4,,,,,,The Ethics of Public Health Surveillance.,,"Middaugh, John P.","State Epidemiologist, Alaska Division of Public Health, 3601 C Street, Suite 540, Post Office Box 240249, Anchorage, AK 99524-0249, USA.",,PUBLIC health surveillance,unclass,"In their Policy Forum ""Ethics and the Conduct of Public Health Surveillance,"" A.L. Fairchild and R. Bayer imply that there is a lack of ethical oversight of public health surveillance. Their implication comes from the notion that because public health surveillance is not human subject research, it is not subject to institutional review board review under the Common Rule. Public health surveillance consists of two major categories: First, disease reporting to a public health authority as required by law and without patient consent, and second, disease registries and records maintained with patient consent. Public health surveillance enables rapid responses to emerging infections and bioterrorism or other public health threats.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13159761&site=ehost-live
,,116,,slh,Sociological Collection,15601778,,,,,,,,Science,368075,,,12/24/2004,2004,12,24,306,5705,,,,,2177,2,,,,,,Heightened Security or Neocolonial Science?,,"Stone, Richard",,,UNITED States,geo,"The article reports that new restrictions on federally funded research involving the world's most dangerous pathogens are hampering foreign collaborations. After an expensive security upgrade of his laboratories and hours of paperwork, the director for tropical and emerging infectious disease research at the University of Texas Medical Branch in Galveston was ready to resume research on the Venezuelan equine encephalitis (VEE) virus in Colombia, Peru and Venezuela. In August, the U.S. National Institute of Allergy and Infectious Diseases informed Weaver that under the terms of his two VEE grants, laboratories of his foreign colleagues must have procedures in place for handling select agents that are equivalent to tough the U.S. regulations imposed last year.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=15601778&site=ehost-live
,,120,,slh,Sociological Collection,13455762,,,,,,,,Science,368075,,,6/4/2004,2004,6,4,304,5676,,,,,1413,1,,,,,,The Obesity Epidemic.,,"Abelson, Philip",Editor Emeritus,,UNITED States,geo,"There is a growing public health crisis that is global in scope, and it isn't another emerging infectious disease. It concerns being overweight and the adverse health consequences of obesity, which include diabetes, heart disease, and cancer. To sketch the extent of this problem, researchers begin with the U.S., an appropriate starting point because U.S. dietary styles and food habits have been exported so widely around the world. In 1998, the National Institutes of Health in the U.S. found that 97 million U.S. adults were considered obese or overweight.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13455762&site=ehost-live
,,126,,slh,Sociological Collection,12697271,,,,,,,,Science,368075,,,3/19/2004,2004,3,19,303,5665,,,,,1838,5,,,,,,The Structure and Receptor Binding Properties of the 1918Influenza Hemagglutinin.,,"Gamblin, S. J.","Medical Research Council (MRC) National Institute for Medical Research, The Ridgeway, Mill Hill, London NW7 1AA, UK.",,INFLUENZA viruses,unclass,"The 1918 influenza pandemic resulted in about 20 million deaths. This enormous impact, coupled with renewed interest in emerging infections, makes characterization of the vims involved a priority. Receptor binding, the initial event in virus infection, is a major determinant of virus transmissibility that, for influenza viruses, is mediated by the hemagglutinin (HA) membrane glycoprotein. We have determined the crystal structures of the HA from the 1918 virus and two closely related HAs in complex with receptor analogs. They explain how the 1918 HA, while retaining receptor binding site amino acids characteristic of an avian precursor HA, is able to bind human receptors and how, as a consequence, the virus was able to spread in the human population.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=12697271&site=ehost-live
,,129,,slh,Sociological Collection,15492883,,,,,,,,Science,368075,,,12/17/2004,2004,12,17,306,5704,,,,,2021,0,,,,,,U.S. Kazakhstan Ink Pact for Bioweapons Monitoring.,,"Stone, Richard",,,BIOTERRORISM,unclass,"This article informs that a $35 million effort to help fight global bioterrorism moved ahead last week with the signing of an agreement between Kazakhstan and the U.S. The initiative, part of the Pentagon's Nunn-Lugar Cooperative Threat Reduction Program, aims to secure dangerous pathogens, guard against the emergence of new strains, and help keep former Soviet bioweapons experts peacefully occupied at facilities that were key cogs in what was once a vast R&D network. The money will be used in part to create a disease surveillance and diagnostic lab at the Kazakh Science Center for Quarantine and Zoonotic Diseases in Almaty, a former Soviet biodefense institute that tracks endemic plague.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=15492883&site=ehost-live
,,130,,slh,Sociological Collection,13159752,,,,,,,,Science,368075,,,4/30/2004,2004,4,30,304,5671,,,,,673,0,,,,,,Plague Annals Help Bring Microbe Lab in From the Cold.,,"Stone, Richard",,,KAZAKHSTAN,geo,"Findings linking bubonic plague and gerbil abundance in Kazakhstan could be a boon for public health— and are a dividend of efforts to stem a proliferation threat. A team led by Herwig Leirs of the University of Antwerp in Belgium models the ebb and flow of plague in populations of the great gerbil, the main host for plague and plague-infected fleas on the steppes of Kazakhstan. The model, based on 40 years of field data gathered by hundreds of Kazakh zoologists, should help the region's cash-strapped disease surveillance agencies anticipate natural plague outbreaks. The source of the data, the Kazakh Scientific Center for Quarantine and Zoonotic Diseases in Almaty, Kazakhstan, was the linchpin in a network of Soviet antiplague institutes established after World War II to track bacterial diseases.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13159752&site=ehost-live
,,131,,slh,Sociological Collection,13159725,,,,,,,,Science,368075,,,4/30/2004,2004,4,30,304,5671,,,,,649,1,,,,,,Sustainable Development.,,"Sachs, Jeffrey D.",Director of the Earth Institute at Columbia University and Special Advisor to United Nations Secretary-General Kofi Annan on the Millennium Development Goals.,,NEW York (State),geo,"When scientists and public policy specialists gathered at the Earth Institute at Columbia University, New York, to assess the State of the Planet in 2004, their overriding concern centered on global-scale interactions between the growing human population and Earth processes under increasing strain. The fourfold increase of the human population during the past century, coupled with a roughly 4.5-fold increase of economic activity per person, has led to adverse anthropogenic effects on species extinction, ecosystem functions and biodiversity, climate change, groundwater depletion, soil nutrient losses, and zoonotic disease emergence and transmission, with far too little societal effort invested in mitigating these consequences. These pressures will intensify in the coming decades. The scientists attending showed that science and technology offer a suite of options for combining economic well-being and environmental sustainability.",Academic Journal,Editorial,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13159725&site=ehost-live
,,133,,slh,Sociological Collection,13159788,,,,,,,,Science,368075,,,4/30/2004,2004,4,30,304,5671,,,,,736,3,,,,,,Predictive Thresholds for Plague in Kazakhstan.,,"Davis, Stephen","Danish Pest Infestation Laboratory, Skovbrynet 14, DK-2800 Kongens Lyngby, Denmark.",,KAZAKHSTAN,geo,"In Kazakhstan and elsewhere in central Asia, the bacterium Yersinia pestis circulates in natural populations of gerbils, which are the source of human cases of bubonic plague. Our analysis of field data collected between 1955 and 1996 shows that plague invades, fades out, and reinvades in response to fluctuations in the abundance of its main reservoir host, the great gerbil (Rhombomys opimus). This is a rare empirical example of the two types of abundance thresholds for infectious disease — invasion and persistence — operating in a single wildlife population. We parameterized predictive models that should reduce the costs of plague surveillance in central Asia and thereby encourage its continuance.",Academic Journal,Article,,,English,eng,,,,,,,,http://proxy-remote.galib.uga.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=slh&AN=13159788&site=ehost-live
