"authors","title","year","journal","search","abstract"
"Popiel, KY; Vinh, DC","'bobo-newton syndrome': an unwanted gift from man's best friend","2013","CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY","Web of Science","Capnocytophaga canimorsus is a facultative Gram-negative bacillus that is typically a constituent of the oral flora of dogs and cats. It was first isolated by Bobo and Newton in 1976 from a man presenting with meningitis following a dog bite. Transmission to humans follows various animal-related injuries, which may be gross or subtle. C canimorsus can cause a spectrum of syndromes ranging from skin and soft tissue infection to invasive disease such as meningitis or endocarditis. The present article reports a case of C canimorsus meningitis in a patient with the classic risk factor of alcoholic liver cirrhosis. Clinical suspicion was confirmed by culture and genetic identification of the blood isolate. The present article reviews the Capnocytophaga genus, the clinical syndromes most commonly associated with this zoonotic organism, its laboratory identification and treatment."
"Harvey, WT; Salvato, P","'lyme disease': ancient engine of an unrecognized borreliosis pandemic?","2003","MEDICAL HYPOTHESES","Web of Science","Unexpectedly we have found large numbers of chronically ill Borrelia burgdorferi PCR- and seropositive patients in Houston, Texas, a zoonotically 'non-endemic' area. In order to understand this finding prior to sufficient data availability, we chose to examine critically currently accepted but troublesome 'Lyme disease' concepts. Our method was to analyze each foundation 'Lyme disease' premise within the context of available medical and veterinary literature, then to reconstruct the disease model consistent with the preponderance of that data. We find the present conceptualization of the illness seriously truncated, with a high likelihood of two distinct but connected forms of human B. burgdorferi infection. The yet-unrecognized form appears to have a broader clinical presentation, wider geographic distribution, and vastly greater prevalence. We conclude that 'Lyme disease' currently acknowledges only its zoonosis arm and is a limited conceptualization of a far more pervasive and unrecognized infection state that must be considered a global epidemic. (C) 2003 Elsevier Science Ltd. All rights reserved."
"Mbugi EV, Kayunze KA, Katale BZ, Kendall S, Good L, Kibik GS, Keyyu JD, Godfrey-Faussett P, Van Helden P, Matee MI.","'one health' infectious diseases surveillance in tanzania: are we all on board the same flight?","2012","Onderstepoort J Vet Res.","PubMed",NA
"Phillips, Tarryn","""i never wanted to be a quack!"" - the professional deviance of plaintiff experts in contested illness lawsuits : the case of multiple chemical sensitivities","2010","Medical anthropology quarterly","Anthropology Plus",""
"Kalthoff D, Globig A, Beer M.","(highly pathogenic) avian influenza as a zoonotic agent","2010","Vet Microbiol.","PubMed",NA
"Nassar-Montoya, F","?are the colombian zootechnics and veterinary sciences prepare for the future?: a vision from colombia","2012","REVISTA MVZ CORDOBA","Web of Science","A review of the Veterinary Medicine and Zootechnics is done aiming to understand their significance and performance in the current and future society, with main focus in the Colombian reality. The review shows the competences and responsibilities that these sciences have in diverse sectors such as the environmental, social and health, area, and not just in agriculture. The environmental crisis and the dynamics of the modern world have created new needs that represent a great opportunity for the Veterinary sciences and Zootechnics, if they can respond to new challenges and make use of their natural role in the sectors that now are of their competence. Their institutionally and hegemony will depend on their adaptation, flexibility and leadership capacity. Therefore, this is pertinent for the Zootechnics and Veterinary sciences to perform a collective disciplinary prospection to understand new challenges and prepare for the future."
"Yoshinari NH, Mantovani E, Bonoldi VL, Marangoni RG, Gauditano G.","[brazilian lyme-like disease or baggio-yoshinari syndrome: exotic and emerging brazilian tick-borne zoonosis]","2010","Rev Assoc Med Bras (1992).","PubMed",NA
"Arch-Tirado E, Rosado-Muñoz J.","[sciences of complexity and chaos to analyze vectors and zoonosis]","2009","Cir Cir.","PubMed",NA
"B. Joseph Hinnebusch, Clayton O. Jarrett, David M. Bland","<U+FFFD>fleaing<U+FFFD> the plague: adaptations of yersinia pestis to its insect vector that lead to transmission","2017","Annual Review of Microbiology","Annual Reviews","Interest in arthropod-borne pathogens focuses primarily on how they cause disease in humans. How they produce a transmissible infection in their arthropod host is just as critical to their life cycle, however. Yersinia pestis adopts a unique life stage in the digestive tract of its flea vector, characterized by rapid formation of a bacterial biofilm that is enveloped in a complex extracellular polymeric substance. Localization and adherence of the biofilm to the flea foregut is essential for transmission. Here, we review the molecular and genetic mechanisms of these processes and present a comparative evaluation and updated model of two related transmission mechanisms."
"Sykes, JE; Hartmann, K; Lunn, KF; Moore, GE; Stoddard, RA; Goldstein, RE","2010 acvim small animal consensus statement on leptospirosis: diagnosis epidemiology treatment and prevention","2011","JOURNAL OF VETERINARY INTERNAL MEDICINE","Web of Science","This report offers a consensus opinion on the diagnosis, epidemiology, treatment, and prevention of leptospirosis in dogs, an important zoonosis. Clinical signs of leptospirosis in dogs relate to development of renal disease, hepatic disease, uveitis, and pulmonary hemorrhage. Disease may follow periods of high rainfall, and can occur in dogs roaming in proximity to water sources, farm animals, or wildlife, or dogs residing in suburban environments. Diagnosis is based on acute and convalescent phase antibody titers by the microscopic agglutination test (MAT), with or without use of polymerase chain reaction assays. There is considerable interlaboratory variation in MAT results, and the MAT does not accurately predict the infecting serogroup. The recommended treatment for optimal clearance of the organism from renal tubules is doxycycline, 5 mg/kg PO q12h, for 14 days. Annual vaccination can prevent leptospirosis caused by serovars included in the vaccine and is recommended for dogs at risk of infection."
"Schwarz S, Enne VI, van Duijkeren E.","40 years of veterinary papers in jac - what have we learnt?","2016","J Antimicrob Chemother.","PubMed",NA
"Perez-Molina, JA; Lopez-Polin, A; Trevino, B; Molina, I; Goikoetxea, J; Diaz-Menendez, M; Torrus, D; Calabuig, E; Benito, A; Lopez-Velez, R","6-year review of plus redivi: a prospective registry of imported infectious diseases in spain","2017","JOURNAL OF TRAVEL MEDICINE","Web of Science","Background: Understanding and detecting imported diseases is a priority in the prevention and management of prevalent and emergent infectious diseases acquired abroad. The +Redivi network measures the burden of imported infections in Spain and is essential for closing the gap in travel medicine. Methods: Demographic characteristics, travel information, syndromes and confirmed travel-related diagnoses were registered in a standardised online database. Results: A total of 10 767 cases of imported infectious diseases were registered between October 2009 and December 2015. Of these, 60.8% of cases were immigrants seen for the first time after arrival, 20.6% were travellers, and 18.4% were individuals visiting friends and relatives (VFR [immigrants and travellers]). The median time between arrival and medical consultation was 5.5 years for immigrants, 2.0 weeks for travellers, 3.1 weeks for VFR-travellers and 11.4 for VFR-immigrants. The most prevalent diagnoses were Chagas disease in immigrants and nonspecific acute diarrhoea in travellers. Malaria by P. falciparum was one of the most prevalent diagnoses among VFR. More than half the travellers saw a physician before travelling, although one-third of those for whom antimalarial medication was indicated did not take their medication correctly. As for VFR, only 10.4% of VFR-immigrants and 32.5% of VFR-travellers sought pre-travel advice. Only 23 and 21%, respectively, of those for whom antimalarial prophylaxis was indicated took the medication properly. Conclusions: +Redivi provides a clear picture of the prevalence of imported infectious diseases among travellers and immigrants in Spain. The data collected could be used to improve everyday health care provided to travellers and immigrants after travel, to guide pre-travel consultations and to monitor the potential occurrence of tropical or exotic infectious diseases."
